"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Balaena mysticetus","Artiodactyla","Whippomorpha","Mysticeti","Balaenidae","cathemeral","cathemeral","cathemeral","4","Balaena_mysticetus"
"Balaenoptera acutorostrata","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","diurnal","diurnal","diurnal","4","Balaenoptera_acutorostrata"
"Balaenoptera bonaerensis","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","cathemeral","cathemeral","cathemeral","4","Balaenoptera_bonaerensis"
"Balaenoptera borealis","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","cathemeral","cathemeral","cathemeral","4","Balaenoptera_borealis"
"Balaenoptera brydei","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","nocturnal","nocturnal","nocturnal","4","Balaenoptera_brydei"
"Balaenoptera edeni","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","diurnal","diurnal","diurnal","4","Balaenoptera_edeni"
"Balaenoptera musculus","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","cathemeral","cathemeral","cathemeral","4","Balaenoptera_musculus"
"Balaenoptera omurai","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","cathemeral","cathemeral","cathemeral","3","Balaenoptera_omurai"
"Balaenoptera physalus","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","cathemeral","cathemeral","cathemeral","4","Balaenoptera_physalus"
"Balaenoptera ricei","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","diurnal","diurnal","diurnal","4","Balaenoptera_ricei"
"Berardius arnuxii","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","diurnal","diurnal","diurnal","1","Berardius_arnuxii"
"Berardius bairdii","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","cathemeral","cathemeral","cathemeral","4","Berardius_bairdii"
"Berardius minimus","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae",NA,NA,NA,"0","Berardius_minimus"
"Caperea marginata","Artiodactyla","Whippomorpha","Mysticeti","Neobalaenidae","cathemeral","cathemeral","cathemeral","3","Caperea_marginata"
"Cephalorhynchus commersonii","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","cathemeral","cathemeral","cathemeral","5","Cephalorhynchus_commersonii"
